Movie Name,Rating,Votes,Duration (minutes),Genre
Officer Black Belt,5.4, 44K,108.0,action
Simarik,5.4, 44K,111.0,action
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,5.4, 44K,104.0,action
Air Force One Down,5.4, 44K,84.0,action
The Wages of Fear,5.4, 44K,104.0,action
The Prosecutor,5.4, 44K,117.0,action
Kill Em All 2,5.4, 44K,88.0,action
The Quiet Ones,5.4, 44K,110.0,action
Khadaan,5.4, 44K,137.0,action
Darkness of Man,5.4, 44K,109.0,action
Operation Blood Hunt,5.4, 44K,93.0,action
Rats!,5.4, 44K,85.0,action
Ultraman: Rising,5.4, 44K,117.0,action
Jigra,5.4, 44K,153.0,action
One Fast Move,5.4, 44K,108.0,action
Angels Fallen: Warriors of Peace,5.4, 44K,103.0,action
The Last Kumite,5.4, 44K,105.0,action
Murder Company,5.4, 44K,86.0,action
Panda Plan,5.4, 44K,99.0,action
Karma,5.4, 44K,167.0,action
Bougainvillea,5.4, 44K,138.0,action
Golden Kamuy,5.4, 44K,127.0,action
Cloud,5.4, 44K,123.0,action
Pani,5.4, 44K,143.0,action
Utopia,5.4, 44K,91.0,action
Latency,5.4, 44K,94.0,action
Murder at Hollow Creek,5.4, 44K,,action
The Thundermans Return,5.4, 44K,70.0,action
Death Whisperer 2,5.4, 44K,110.0,action
Dan Da Dan: First Encounter,5.4, 44K,83.0,action
Everybody Loves Jenifa,5.4, 44K,135.0,action
Justice League: Crisis on Infinite Earths - Part Two,5.4, 44K,94.0,action
Sucha Soorma,5.4, 44K,136.0,action
Freedom,5.4, 44K,110.0,action
WWII: Operation Phoenix,5.4, 44K,106.0,action
Anaconda,5.4, 44K,84.0,action
The Family Star,5.4, 44K,159.0,action
My Fathers' Daughter,5.4, 44K,78.0,action
Die Hart 2: Die Harter,5.4, 44K,92.0,action
Life After Fighting,5.4, 44K,126.0,action
Hanu Man,5.4, 44K,158.0,action
Ferry 2,5.4, 44K,94.0,action
Wynonna Earp: Vengeance,5.4, 44K,96.0,action
Fight Another Day,5.4, 44K,97.0,action
Wanted Man,5.4, 44K,85.0,action
Hijack 1971,5.4, 44K,100.0,action
Terminator: Skynet Rising,5.4, 44K,88.0,action
The Greatest of All Time,5.4, 44K,183.0,action
Alien: Rubicon,5.4, 44K,86.0,action
Zero,5.4, 44K,88.0,action
Saripodhaa Sanivaaram,5.4, 44K,166.0,action
The Clean Up Crew,5.4, 44K,95.0,action
Sixty Minutes,5.4, 44K,88.0,action
Escape,5.4, 44K,94.0,action
Razakar: The Silent Genocide of Hyderabad,5.4, 44K,166.0,action
Outlaw,5.4, 44K,82.0,action
Viduthalai Part 2,5.4, 44K,170.0,action
Revolver,5.4, 44K,114.0,action
Snow White and the Seven Samurai,5.4, 44K,88.0,action
The Ballad of Davy Crockett,5.4, 44K,96.0,action
The Hangman,5.4, 44K,92.0,action
Savi,5.4, 44K,126.0,action
Agni,5.4, 44K,122.0,action
Spiders on a Plane,5.4, 44K,78.0,action
"Love, Courage and the Battle of Bushy Run",5.4, 44K,113.0,action
A Legend,5.4, 44K,129.0,action
Kanguva,5.4, 44K,152.0,action
Baby Invasion,5.4, 44K,80.0,action
Handsome Guys,5.4, 44K,101.0,action
72 Hours,5.4, 44K,87.0,action
Cells at Work!,5.4, 44K,109.0,action
The Slave and the Sorcerer,5.4, 44K,86.0,action
Heart of the Hunter,5.4, 44K,105.0,action
Bagheera,5.4, 44K,158.0,action
Chandu Champion,5.4, 44K,142.0,action
The Last Front,5.4, 44K,98.0,action
London Calling,5.4, 44K,109.0,action
The Lockdown,5.4, 44K,117.0,action
Vettaiyan,5.4, 44K,163.0,action
Cassino in Ischia,5.4, 44K,113.0,action
Vedaa,5.4, 44K,145.0,action
40 Acres,5.4, 44K,113.0,action
Overlord: The Sacred Kingdom,5.4, 44K,135.0,action
Nice Girls,5.4, 44K,92.0,action
Roadkill,5.4, 44K,90.0,action
Crosspoint,5.4, 44K,100.0,action
A.R.M,5.4, 44K,150.0,action
Don't Mess with Grandma,5.4, 44K,81.0,action
GTMax,5.4, 44K,100.0,action
Invasion,5.4, 44K,91.0,action
Get Fast,5.4, 44K,88.0,action
Big Rage,5.4, 44K,115.0,action
Mura,5.4, 44K,129.0,action
Alangu,5.4, 44K,131.0,action
Black Creek,5.4, 44K,116.0,action
12 to Midnight,5.4, 44K,96.0,action
Non Negotiable,5.4, 44K,87.0,action
War of the Worlds: Extinction,5.4, 44K,84.0,action
Mission: Cross,5.4, 44K,105.0,action
How to Rob a Bank,5.4, 44K,88.0,action
Cesium Fallout,5.4, 44K,136.0,action
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,5.4, 44K,174.0,action
The Last Ronin,5.4, 44K,121.0,action
Toofan,5.4, 44K,145.0,action
12 Gaun,5.4, 44K,147.0,action
Continental Split,5.4, 44K,88.0,action
Black Heat,5.4, 44K,93.0,action
Guntur Kaaram,5.4, 44K,159.0,action
Devil's Knight,5.4, 44K,90.0,action
Thangalaan,5.4, 44K,156.0,action
The Twisters,5.4, 44K,86.0,action
Bade Miyan Chote Miyan,5.4, 44K,163.0,action
Bionic,5.4, 44K,110.0,action
Yolo,5.4, 44K,129.0,action
High Forces,5.4, 44K,119.0,action
School of Magical Animals 3,5.4, 44K,105.0,action
The Last of Us: Immunity,5.4, 44K,64.0,action
Kingdom 4: Return of the Great General,5.4, 44K,145.0,action
Bachhala Malli,5.4, 44K,140.0,action
Crakk: Jeetega... Toh Jiyegaa,5.4, 44K,154.0,action
UI,5.4, 44K,135.0,action
Escape from the 21st Century,5.4, 44K,98.0,action
Taken from Rio Bravo,5.4, 44K,80.0,action
Sector 17,5.4, 44K,146.0,action
Diabel,5.4, 44K,108.0,action
Art of Eight Limbs,5.4, 44K,101.0,action
Eye for an Eye 2,5.4, 44K,90.0,action
The Charisma Killers,5.4, 44K,101.0,action
Pimpinero: Blood and Oil,5.4, 44K,121.0,action
Yodha,5.4, 44K,130.0,action
Ryan's World the Movie: Titan Universe Adventure,5.4, 44K,80.0,action
Dreams,5.4, 44K,106.0,action
Je Jatt Vigarh Gya,5.4, 44K,132.0,action
Blade of Fury,5.4, 44K,90.0,action
Ka Whawhai Tonu,5.4, 44K,115.0,action
The Friendly,5.4, 44K,101.0,action
Dange,5.4, 44K,154.0,action
The Firefighters,5.4, 44K,106.0,action
Alienoid: The Return to the Future,5.4, 44K,122.0,action
Hunting with Tigers,5.4, 44K,109.0,action
Paradise,5.4, 44K,83.0,action
Devaki Nandana Vasudeva,5.4, 44K,128.0,action
Deaner '89,5.4, 44K,90.0,action
Hellhound,5.4, 44K,103.0,action
Bloodline,5.4, 44K,80.0,action
Auron Mein Kahan Dum Tha,5.4, 44K,150.0,action
Reapers,5.4, 44K,,action
Shark Warning,5.4, 44K,94.0,action
Jathara,5.4, 44K,129.0,action
Nothing Even Matters,5.4, 44K,90.0,action
Snatched,5.4, 44K,101.0,action
No Time to Spy: A Loud House Movie,5.4, 44K,81.0,action
Memes & Nightmares,5.4, 44K,81.0,action
Operation Undead,5.4, 44K,110.0,action
Fyre Rises,5.4, 44K,110.0,action
Witch Hunter,5.4, 44K,80.0,action
Mr. Bachchan,5.4, 44K,150.0,action
Bureau 749,5.4, 44K,123.0,action
Martin,5.4, 44K,147.0,action
The Unbreakable Bunch,5.4, 44K,,action
Ayalaan,5.4, 44K,155.0,action
Rajakili,5.4, 44K,122.0,action
Crisis Negotiators,5.4, 44K,120.0,action
Timuchin,5.4, 44K,,action
Yudhra,5.4, 44K,142.0,action
Baby Assassins: Nice Days,5.4, 44K,103.0,action
Bangkok Dog,5.4, 44K,85.0,action
Sorgavaasal,5.4, 44K,138.0,action
The Actor,5.4, 44K,128.0,action
Tillu Square,5.4, 44K,137.0,action
Mummy Shark,5.4, 44K,66.0,action
Eagle,5.4, 44K,159.0,action
Orang Ikan,5.4, 44K,83.0,action
Zebra,5.4, 44K,164.0,action
S.T.A.L.K.E.R.: Shadow of the Zone,5.4, 44K,72.0,action
Customs Frontline,5.4, 44K,115.0,action
Rogue Elements: A Ryan Drake Story,5.4, 44K,44.0,action
